,tconst,ordering,nconst,category,job,characters
525430,tt0062776,1,nm0042046,actress,\N,"[""Candy Christian""]"
525431,tt0062776,2,nm0000009,actor,\N,"[""MacPhisto""]"
525432,tt0062776,3,nm0002198,actor,\N,"[""Hunchback Juggler""]"
525433,tt0062776,4,nm0000008,actor,\N,"[""Grindl""]"
525578,tt0062792,1,nm0001215,actor,\N,"[""Charlie Bubbles""]"
525579,tt0062792,2,nm0086780,actor,\N,"[""Smokey Pickles""]"
525580,tt0062792,3,nm0925794,actress,\N,"[""Lottie Bubbles""]"
525581,tt0062792,4,nm0591485,actress,\N,"[""Eliza""]"
525854,tt0062824,1,nm0000142,actor,\N,"[""Coogan""]"
525855,tt0062824,2,nm0002011,actor,\N,"[""Lt. McElroy""]"
525856,tt0062824,3,nm0164540,actress,\N,"[""Julie Roth""]"
525857,tt0062824,4,nm0827594,actress,\N,"[""Linny Raven""]"
525884,tt0062827,1,nm0001001,actor,\N,"[""Lee Stegler""]"
525885,tt0062827,2,nm0000380,actor,\N,"[""Chiz""]"
525886,tt0062827,3,nm0601369,actress,\N,"[""Mickey Stegler""]"
525887,tt0062827,4,nm0062642,actress,\N,"[""Jean""]"
525904,tt0062829,1,nm0000032,actor,\N,"[""Lionel Evans""]"
525905,tt0062829,2,nm0001703,actor,\N,"[""Gen. Schiller""]"
525906,tt0062829,3,nm0371624,actress,\N,"[""Annabelle Rice""]"
525907,tt0062829,4,nm0000558,actor,\N,"[""Victor Rice""]"
526153,tt0062857,1,nm0000059,actor,\N,"[""Edgar""]"
526154,tt0062857,2,nm0568603,actress,\N,"[""Alice""]"
526155,tt0062857,3,nm0427701,actress,\N,"[""Jenny""]"
526156,tt0062857,4,nm0727115,actress,\N,"[""Karen""]"
526262,tt0062868,1,nm0000323,actor,\N,"[""Henry""]"
526263,tt0062868,2,nm0707728,actress,\N,"[""Fe""]"
526264,tt0062868,3,nm0792996,actor,\N,"[""Dr. Delgado""]"
526265,tt0062868,4,nm0346646,actor,\N,"[""Police Captain""]"
526419,tt0062886,1,nm0000034,actor,\N,"[""Lt. Col. Robert T. Frederick""]"
526420,tt0062886,2,nm0731772,actor,\N,"[""Maj. Alan Crown""]"
526421,tt0062886,3,nm0250436,actor,\N,"[""Maj. Cliff Bricker""]"
526422,tt0062886,4,nm0697785,actor,\N,"[""Pvt. Theodore Ransom""]"
526538,tt0062898,1,nm0000072,actress,\N,"[""Helen""]"
526539,tt0062898,2,nm0000009,actor,\N,"[""Doctor Faustus""]"
526540,tt0062898,3,nm0856601,actor,\N,"[""Mephistophilis""]"
526541,tt0062898,4,nm0159161,actor,\N,"[""Valdes""]"
527211,tt0062975,1,nm0000071,actor,\N,"[""Johnny Cobb""]"
527212,tt0062975,2,nm0000020,actor,\N,"[""Bob Larkin""]"
527213,tt0062975,3,nm0828447,actress,\N,"[""Evelyn Pittman""]"
527214,tt0062975,4,nm0516972,actor,\N,"[""Earl""]"
527302,tt0062985,1,nm0001627,actor,\N,"[""Jack Parks""]"
527303,tt0062985,2,nm0511085,actress,\N,"[""Ivy Moore""]"
527304,tt0062985,3,nm0000977,actor,\N,"[""Tim Austin""]"
527305,tt0062985,4,nm0552832,actress,\N,"[""Doris Austin""]"
527742,tt0063034,1,nm0000564,actor,\N,"[""Capt. Charles Edstaston""]"
527743,tt0063034,2,nm0609216,actor,\N,"[""Potemkin""]"
527744,tt0063034,3,nm0603402,actress,\N,"[""Catherine""]"
527745,tt0063034,4,nm0370144,actor,\N,"[""The British Ambassador""]"
